"DateTime","Unique buyers","Unique buyers"
"2021-07-31 00:00:00",2161,2161
"2021-08-01 00:00:00",2237,2237
"2021-08-02 00:00:00",3250,3250
"2021-08-03 00:00:00",1301,1301
"2021-08-04 00:00:00",1164,1164
"2021-08-05 00:00:00",427,427
"2021-08-06 00:00:00",937,937
"2021-08-07 00:00:00",832,832
"2021-08-08 00:00:00",843,843
"2021-08-09 00:00:00",1427,1427
"2021-08-10 00:00:00",469,469
"2021-08-11 00:00:00",1310,1310
"2021-08-12 00:00:00",365,365
"2021-08-13 00:00:00",289,289
"2021-08-14 00:00:00",875,875
"2021-08-15 00:00:00",606,606
"2021-08-16 00:00:00",858,858
"2021-08-17 00:00:00",1538,1538
"2021-08-18 00:00:00",1419,1419
"2021-08-19 00:00:00",463,463
"2021-08-20 00:00:00",1583,1583
"2021-08-21 00:00:00",2127,2127
"2021-08-22 00:00:00",1870,1870
"2021-08-23 00:00:00",3699,3699
"2021-08-24 00:00:00",2336,2336
"2021-08-25 00:00:00",2263,2263
"2021-08-26 00:00:00",1247,1247
"2021-08-27 00:00:00",2273,2273
"2021-08-28 00:00:00",2236,2236
"2021-08-29 00:00:00",736,736
"2021-08-30 00:00:00",2659,2659
"2021-08-31 00:00:00",754,754
"2021-09-01 00:00:00",1386,1386
"2021-09-02 00:00:00",438,438
"2021-09-03 00:00:00",1415,1415
"2021-09-04 00:00:00",324,324
"2021-09-05 00:00:00",207,207
"2021-09-06 00:00:00",181,181
"2021-09-07 00:00:00",815,815
"2021-09-08 00:00:00",208,208
"2021-09-09 00:00:00",826,826
"2021-09-10 00:00:00",523,523
"2021-09-11 00:00:00",165,165
"2021-09-12 00:00:00",128,128
"2021-09-13 00:00:00",1455,1455
"2021-09-14 00:00:00",1405,1405
"2021-09-15 00:00:00",260,260
"2021-09-16 00:00:00",1046,1046
"2021-09-17 00:00:00",479,479
"2021-09-18 00:00:00",156,156
"2021-09-19 00:00:00",152,152
"2021-09-20 00:00:00",114,114
"2021-09-21 00:00:00",1302,1302
"2021-09-22 00:00:00",830,830
"2021-09-23 00:00:00",724,724
"2021-09-24 00:00:00",1487,1487
"2021-09-25 00:00:00",226,226
