"DateTime","Number of sales","Number of sales"
"2022-01-06 00:00:00",187,187
"2022-01-07 00:00:00",482,482
"2022-01-08 00:00:00",141,141
"2022-01-09 00:00:00",100,100
"2022-01-10 00:00:00",1628,1628
"2022-01-11 00:00:00",802,802
"2022-01-12 00:00:00",265,265
"2022-01-13 00:00:00",202,202
"2022-01-14 00:00:00",138,138
"2022-01-15 00:00:00",170,170
"2022-01-16 00:00:00",202,202
"2022-01-17 00:00:00",163,163
"2022-01-18 00:00:00",181,181
"2022-01-19 00:00:00",131,131
"2022-01-20 00:00:00",190,190
"2022-01-21 00:00:00",240,240
"2022-01-22 00:00:00",93,93
"2022-01-23 00:00:00",70,70
"2022-01-24 00:00:00",1417,1417
"2022-01-25 00:00:00",294,294
"2022-01-26 00:00:00",295,295
"2022-01-27 00:00:00",231,231
"2022-01-28 00:00:00",714,714
"2022-01-29 00:00:00",421,421
"2022-01-30 00:00:00",174,174
"2022-01-31 00:00:00",1511,1511
"2022-02-01 00:00:00",593,593
"2022-02-02 00:00:00",232,232
"2022-02-03 00:00:00",2927,2927
"2022-02-04 00:00:00",328,328
"2022-02-05 00:00:00",192,192
"2022-02-06 00:00:00",163,163
"2022-02-07 00:00:00",1315,1315
"2022-02-08 00:00:00",378,378
"2022-02-09 00:00:00",181,181
"2022-02-10 00:00:00",456,456
"2022-02-11 00:00:00",502,502
"2022-02-12 00:00:00",269,269
"2022-02-13 00:00:00",131,131
"2022-02-14 00:00:00",1561,1561
"2022-02-15 00:00:00",258,258
"2022-02-16 00:00:00",151,151
"2022-02-17 00:00:00",151,151
"2022-02-18 00:00:00",122,122
"2022-02-19 00:00:00",63,63
"2022-02-20 00:00:00",48,48
"2022-02-21 00:00:00",48,48
"2022-02-22 00:00:00",873,873
"2022-02-23 00:00:00",173,173
"2022-02-24 00:00:00",332,332
"2022-02-25 00:00:00",308,308
"2022-02-26 00:00:00",138,138
"2022-02-27 00:00:00",117,117
"2022-02-28 00:00:00",91,91
"2022-03-01 00:00:00",1351,1351
"2022-03-02 00:00:00",162,162
"2022-03-03 00:00:00",278,278
"2022-03-04 00:00:00",375,375
"2022-03-05 00:00:00",150,150
"2022-03-06 00:00:00",106,106
"2022-03-07 00:00:00",110,110
"2022-03-08 00:00:00",148,148
"2022-03-09 00:00:00",126,126
"2022-03-10 00:00:00",236,236
"2022-03-11 00:00:00",523,523
"2022-03-12 00:00:00",365,365
"2022-03-13 00:00:00",128,128
"2022-03-14 00:00:00",134,134
"2022-03-15 00:00:00",373,373
"2022-03-16 00:00:00",108,108
"2022-03-17 00:00:00",177,177
"2022-03-18 00:00:00",447,447
"2022-03-19 00:00:00",372,372
"2022-03-20 00:00:00",126,126
"2022-03-21 00:00:00",1669,1669
"2022-03-22 00:00:00",1583,1583
"2022-03-23 00:00:00",285,285
"2022-03-24 00:00:00",235,235
"2022-03-25 00:00:00",885,885
"2022-03-26 00:00:00",185,185
"2022-03-27 00:00:00",159,159
"2022-03-28 00:00:00",110,110
"2022-03-29 00:00:00",1350,1350
"2022-03-30 00:00:00",214,214
"2022-03-31 00:00:00",122,122
"2022-04-01 00:00:00",101,101
"2022-04-02 00:00:00",182,182
"2022-04-03 00:00:00",160,160
"2022-04-04 00:00:00",125,125
"2022-04-05 00:00:00",712,712
"2022-04-06 00:00:00",584,584
"2022-04-07 00:00:00",464,464
"2022-04-08 00:00:00",268,268
"2022-04-09 00:00:00",178,178
"2022-04-10 00:00:00",134,134
"2022-04-11 00:00:00",109,109
"2022-04-12 00:00:00",275,275
"2022-04-13 00:00:00",118,118
"2022-04-14 00:00:00",727,727
"2022-04-15 00:00:00",1880,1880
"2022-04-16 00:00:00",228,228
"2022-04-17 00:00:00",176,176
"2022-04-18 00:00:00",561,561
"2022-04-19 00:00:00",220,220
"2022-04-19 23:59:59",101,101
"2022-04-20 23:59:59",76,76
"2022-04-21 23:59:59",686,686
"2022-04-22 23:59:59",217,217
"2022-04-23 23:59:59",104,104
"2022-04-24 23:59:59",113,113
"2022-04-25 23:59:59",138,138
"2022-04-26 23:59:59",118,118
"2022-04-27 23:59:59",113,113
"2022-04-28 23:59:59",1162,1162
"2022-04-29 23:59:59",211,211
"2022-04-30 23:59:59",171,171
"2022-05-01 23:59:59",174,174
"2022-05-04 00:00:00",197,197
"2022-05-05 00:00:00",279,279
"2022-05-06 00:00:00",888,888
"2022-05-07 00:00:00",2442,2442
"2022-05-08 00:00:00",388,388
"2022-05-09 00:00:00",220,220
"2022-05-10 00:00:00",223,223
"2022-05-11 00:00:00",70,70
"2022-05-12 00:00:00",103,103
"2022-05-13 00:00:00",236,236
"2022-05-14 00:00:00",133,133
"2022-05-15 00:00:00",190,190
