date,weighted,close,high,low,open,volume
2018-05-08 9:05,746.82,746.99,776,720,752.42,91650830.07
2018-05-09 9:05,736.61,750,759.5,708.8,746.99,70841297.13
2018-05-10 9:05,747.57,723.51,768,723.01,750,62084388.22
2018-05-11 9:05,692.53,678.05,735.19,662.6,723.51,121383936.1
2018-05-12 9:05,669.56,684.66,692.39,638.88,678.05,67654109.5
2018-05-13 9:05,712.11,729.29,740.31,671,684.66,55933865.29
2018-05-14 9:05,718.06,726.9,745,684.8,729.29,111296761
2018-05-15 9:05,720.5,706.08,738,694.75,726.9,66727835.57
2018-05-16 9:05,693.49,707.45,710.44,677.55,706.08,57790727.85
2018-05-17 9:05,692.6,668.56,717.17,661,707.45,53802364.81
2018-05-18 9:05,676.3,694.5,694.71,656.5,668.56,54698883.51
2018-05-19 9:05,697.43,695.96,715.76,677.7,694.5,31311407.72
2018-05-20 9:05,711.02,714,723,687.7,695.96,34675570.97
2018-05-21 9:05,702.52,696.77,717,686.52,714,32841915.46
2018-05-22 9:05,666.82,640.5,699,638,696.77,62992057.21
2018-05-23 9:05,603.36,577.2,648.46,563.27,640.5,118757430.5
2018-05-24 9:05,584.14,603,609.21,545.36,577.2,77524898.56
2018-05-25 9:05,594.17,584.02,616,568.27,603,56644888.27
2018-05-26 9:05,593.65,584.99,606,577.65,584.02,26036976.23
2018-05-27 9:05,572.19,570.75,589.5,556,584.99,30324539.02
2018-05-28 9:05,531.59,511.33,575,507,570.75,58603747.26
2018-05-29 9:05,547.14,566.66,573.53,510.91,511.33,71471747.75
2018-05-30 9:05,560.76,557.22,585.92,541.23,566.66,52961594.41
2018-05-31 9:05,574.45,577.1,589,553.6,557.22,53537536.55
2018-06-01 9:06,572.54,578.89,588,561.49,577.1,51239474.38
2018-06-02 9:06,586.07,590.46,600,571.75,578.89,35320118.74
2018-06-03 9:06,613.76,618.63,627.83,590.46,590.46,30045741.8
2018-06-04 9:06,596.8,591.5,626.55,576.28,618.63,37958150.51
2018-06-05 9:06,595.45,607.6,612,574.77,591.5,41915296.42
2018-06-06 9:06,602.14,606.18,611.69,592.76,607.6,40416713.5
2018-06-07 9:06,605.03,603.56,615.26,594.01,606.18,47915825.96
2018-06-08 9:06,599.53,598.59,607,591,603.56,22280071.08
2018-06-09 9:06,601.2,593.41,608,591.81,598.59,15573870.9
2018-06-10 9:06,541.07,525.25,593.41,505,593.41,71125138.71
2018-06-11 9:06,523.45,531.68,536.85,509.97,525.25,57128600.42
2018-06-12 9:06,509.19,494.14,538.99,485,531.68,58847310.41
2018-06-13 9:06,474.57,476.02,502.4,450.11,494.14,76212244.03
2018-06-14 9:06,497.73,519.75,529.34,459.46,476.02,103522954.2
2018-06-15 9:06,500.62,487.45,521,482,519.75,48506479.26
2018-06-16 9:06,495.02,497.31,502.81,484.12,487.45,21176859.4
2018-06-17 9:06,500.22,496.5,507.83,493.33,497.31,17120744.25
2018-06-18 9:06,506.91,517.47,525,488,496.5,35923728.96
2018-06-19 9:06,530.86,538.5,547.4,514.45,517.47,36680610.65
2018-06-20 9:06,528.93,536,541.8,516.67,538.5,30931573.3
2018-06-21 9:06,532.44,525.49,544.23,521.5,536,26032187.41
2018-06-22 9:06,477.97,462.01,525.65,449.02,525.49,72216362.11
2018-06-23 9:06,471.18,475.17,481.74,457.87,462.01,22260871.06
2018-06-24 9:06,446.51,454.79,476.9,421.1,475.17,63789853.15
2018-06-25 9:06,459.04,458.41,473.27,445,454.79,37157310.24
2018-06-26 9:06,445.6,429.08,460.72,429,458.41,33392996.37
2018-06-27 9:06,432.07,441.41,446,420.12,429.08,30243406.12
2018-06-28 9:06,431.2,420,443.78,417,441.41,24089323.95
2018-06-29 9:06,417.36,434.6,442,404.22,420,39610851.79
2018-06-30 9:06,449.26,453.29,462.49,434.5,434.6,25635348.33
2018-07-01 9:07,450.58,451.43,455.87,444.85,453.29,15146943.94
2018-07-02 9:07,466.43,476.34,481.98,442.79,451.43,32025850.13
2018-07-03 9:07,472.39,461.75,486.76,459.31,476.34,31705086.4
2018-07-04 9:07,466.67,466.9,482.01,451.35,461.75,26343207.39
2018-07-05 9:07,468.74,467.25,477.99,457.85,466.9,25244986.39
2018-07-06 9:07,466.08,469.3,474.99,451.68,467.25,19062799.82
2018-07-07 9:07,471.04,484.48,486.69,462,469.3,14927137.74
2018-07-08 9:07,486.78,486.08,494.74,479.31,484.48,18623873.16
2018-07-09 9:07,478.39,471.6,488,469,486.08,21491496.64
2018-07-10 9:07,445.23,432.59,473,427.88,471.6,42586650.82
2018-07-11 9:07,439.61,446.25,448.54,425.34,432.59,29106538.05
2018-07-12 9:07,431.24,431.46,447.17,418.23,446.25,21457578.16
2018-07-13 9:07,434.87,432.8,442.31,425.1,431.46,21933016.06
2018-07-14 9:07,434.18,434.13,439.99,428.13,432.8,10379674.15
2018-07-15 9:07,445.67,449.41,454.21,431.29,434.13,14852359.05
2018-07-16 9:07,467.98,478.18,479.92,444.05,449.41,29769353.57
2018-07-17 9:07,489.17,499.01,510.79,466.1,478.18,45062392.53
2018-07-18 9:07,493.31,478.81,515.88,468.85,499.01,46779563.77
2018-07-19 9:07,472.12,468.39,483.88,462.16,478.81,23880537.85
2018-07-20 9:07,456.15,448.21,468.73,441,468.39,27847066.85
2018-07-21 9:07,458.94,461.5,468.85,442,448.21,14278165.26
2018-07-22 9:07,462.5,456.9,471.74,455,461.5,13805523.2
2018-07-23 9:07,457.71,449,469.3,445.66,456.9,27160116.83
2018-07-24 9:07,469.87,478.78,483.92,447.99,449,39952757.95
2018-07-25 9:07,474.47,470.81,484.43,463.55,478.78,29015958.82
2018-07-26 9:07,473.32,461.42,483.88,460,470.81,22216152.67
2018-07-27 9:07,464.31,469.3,473.33,454.25,461.42,20073528.1
2018-07-28 9:07,466.95,468.12,471.01,461.25,469.3,8725695.14
2018-07-29 9:07,466.16,466.01,471.37,462,468.12,9292223.1
2018-07-30 9:07,456.74,456.47,469,446,466.01,21847823.23
2018-07-31 9:07,436.68,432.16,457.3,427.33,456.47,25036791.62
2018-08-01 9:08,419.42,419.6,435.48,407.78,432.16,30807918.3
2018-08-02 9:08,413.88,410.71,424.61,407.29,419.6,17900618.41
2018-08-03 9:08,406.65,417.8,420.27,395,410.71,34983118.55
2018-08-04 9:08,409.75,407,419.16,401,417.8,15068691.96
2018-08-05 9:08,406.07,408.83,413.33,400.5,407,12207924.38
2018-08-06 9:08,406.07,404.99,413.17,401,408.83,14303450.85
2018-08-07 9:08,390.68,378.08,410,369.1,404.99,29017762.06
2018-08-08 9:08,362.22,355.7,380.77,347.18,378.08,65617914.46
2018-08-09 9:08,361.98,363.99,371.09,351,355.7,33146909.84
2018-08-10 9:08,345.81,330.99,366.46,326,363.99,34476553.11
2018-08-11 9:08,317.65,318.02,332,305.14,330.99,42175194.48
2018-08-12 9:08,320.87,318.15,328.12,313.29,318.02,19156739.11
2018-08-13 9:08,297.21,284.11,322.27,281.41,318.15,63518596.52
2018-08-14 9:08,264.11,278.37,285,250.28,284.11,92206705.77
2018-08-15 9:08,289.15,281.21,305.4,275.93,278.37,74972492.46
2018-08-16 9:08,288.22,286.67,298.89,277.84,281.21,33921385.41
2018-08-17 9:08,301.59,317.54,319,285.42,286.67,49488392.79
2018-08-18 9:08,300.52,296.61,322.16,283.1,317.54,30594763.49
2018-08-19 9:08,297.81,300.03,307.65,289.33,296.61,18638319.07
2018-08-20 9:08,283.47,270.76,304,268.02,300.03,31911077.26
2018-08-21 9:08,277.28,281.49,286.42,269.13,270.76,19629932.34
2018-08-22 9:08,278.32,270.47,298.99,259.11,281.49,43487128.1
2018-08-23 9:08,274.13,275.87,280.39,268.6,270.47,25851264.41
2018-08-24 9:08,275.9,281.35,283.38,270.27,275.87,20358888.35
2018-08-25 9:08,279.76,277.97,282.95,276.99,281.35,8861404.76
2018-08-26 9:08,273.72,274.25,277.97,270,277.97,10541022.16
2018-08-27 9:08,278.09,287.99,288.64,271.32,274.25,18140309.9
2018-08-28 9:08,289.74,295.39,297.64,282.85,287.99,23562543.29
2018-08-29 9:08,290.63,289,297.32,284.11,295.39,16790551.08
2018-08-30 9:08,280.5,284.52,290.99,272.13,289,22280046.32
2018-08-31 9:08,280.61,281.94,284.7,276.66,284.52,14024974.73
2018-09-01 9:09,292.84,294.64,302.2,281.94,281.94,17275372.99
2018-09-02 9:09,294,295.06,298.72,288.48,294.64,12950767.74
2018-09-03 9:09,289.66,288.6,296.38,285.76,295.06,16127692.96
2018-09-04 9:09,287.21,285.43,292.11,282.1,288.6,20968444.97
2018-09-05 9:09,252.38,227.56,287.95,225.54,285.43,55630162.73
2018-09-06 9:09,224.15,229.66,233.6,211,227.56,62178646.67
2018-09-07 9:09,221.29,215.21,234.23,214,229.66,28572511.21
2018-09-08 9:09,203.02,197,220,190.01,215.21,36271876.11
2018-09-09 9:09,196.4,195.91,208.5,185.39,197,29824528.14
2018-09-10 9:09,194.81,196.94,202.7,186.59,195.91,25934930.5
2018-09-11 9:09,186.46,185.15,199.25,175.5,196.94,32523972.66
2018-09-12 9:09,174.9,182.79,185.15,167,185.15,43013099.84
2018-09-13 9:09,200.8,211.39,215,182.79,182.79,57216219.27
2018-09-14 9:09,213.87,210,224.3,202.51,211.39,46513084.25
2018-09-15 9:09,220.16,221.69,227.5,208.26,210,24347281.2
2018-09-16 9:09,217.01,220.19,223.43,208.01,221.69,20709679.89
2018-09-17 9:09,207.21,195.97,224.9,192.2,220.19,45017560.43
2018-09-18 9:09,205.63,208.5,214.87,194.05,195.97,29794914.11
2018-09-19 9:09,207.59,209.81,214.68,197.34,208.5,34497371.17
2018-09-20 9:09,213.71,224.41,227.34,206.64,209.81,36045367.62
2018-09-21 9:09,234.59,247.76,252,221,224.41,61787654.84
2018-09-22 9:09,241.77,240.71,255,232.67,247.76,29505230.63
2018-09-23 9:09,242.72,244.35,249.79,237.1,240.71,18108035.62
2018-09-24 9:09,234.48,228.01,245.79,225.15,244.35,28261368.63
2018-09-25 9:09,214.18,219.19,228.01,203.38,228.01,49001690.05
2018-09-26 9:09,215.46,214.15,222.43,207.23,219.19,32694715.93
2018-09-27 9:09,221.83,229,233.5,210.01,214.15,37557427.41
2018-09-28 9:09,224.52,220.67,234.59,215,229,29959187.58
2018-09-29 9:09,227.15,231.01,235.35,214,220.67,24114839.72
2018-09-30 9:09,232.38,232.27,238.69,225.5,231.01,20412907.33
2018-10-01 9:10,229.12,230.4,234.92,223.45,232.27,19074939.5
2018-10-02 9:10,226.52,224.85,231.08,221.45,230.4,16009401
2018-10-03 9:10,218.5,219.01,224.9,214,224.85,19659129.8
2018-10-04 9:10,222.63,221,225.66,218.31,219.01,16043937.75
2018-10-05 9:10,223.32,226.89,230.34,218,221,15578902.84
2018-10-06 9:10,224.62,223.85,227.06,222.32,226.89,7206007.32
2018-10-07 9:10,223.03,224.82,225.95,220.24,223.85,6716882.95
2018-10-08 9:10,226.94,227.68,231.1,222.25,224.82,11655474
2018-10-09 9:10,226.54,226.15,228.45,225.06,227.68,9319288.92
2018-10-10 9:10,223.43,223.61,226.25,221.52,226.15,12330085.76
2018-10-11 9:10,199.58,188.32,223.61,185.06,223.61,59884204.13
2018-10-12 9:10,193.63,194.1,198.5,187.15,188.32,18033661.09
2018-10-13 9:10,196.85,196.72,198.37,193.45,194.1,7699059.96
2018-10-14 9:10,195.85,191.87,199.41,189.13,196.72,9515504.79
2018-10-15 9:10,204.84,204.53,220.64,189.96,191.87,43782035.43
2018-10-16 9:10,204.4,205.43,207.97,202.1,204.53,11446606.72
2018-10-17 9:10,203.98,203.21,206.35,201.2,205.43,12972359.61
2018-10-18 9:10,200.77,199.09,205.56,195.15,203.21,19629571.19
2018-10-19 9:10,199.93,200,201.47,197.8,199.09,9796660.3
2018-10-20 9:10,202.41,202.69,204.66,199.31,200,14204119.04
2018-10-21 9:10,203.58,202.12,205.66,201.19,202.69,6877904.11
2018-10-22 9:10,201.07,201.25,203,198.89,202.12,8583551.34
2018-10-23 9:10,200.1,201.12,201.96,197.96,201.25,8228666.67
2018-10-24 9:10,201.37,200.68,202.47,200.38,201.12,7951870.28
2018-10-25 9:10,198.95,199.65,200.72,195.83,200.68,12793549.39
2018-10-26 9:10,200.81,200.7,204.35,198.64,199.65,9457395.21
2018-10-27 9:10,201.06,201.46,201.7,200.42,200.7,4236378.08
2018-10-28 9:10,201.72,202.43,202.85,201,201.46,4282056.28
2018-10-29 9:10,196.02,194.29,202.65,191,202.43,14688606.78
2018-10-30 9:10,194.14,195.35,196.41,192.6,194.29,11160217.57
2018-10-31 9:10,195.63,196.95,200,191.4,195.35,10330143.7
2018-11-01 9:11,196.93,197.96,198.63,196.2,196.95,6845616.28
2018-11-02 9:11,199.45,199.75,201.75,197.8,197.96,8942416.64
2018-11-03 9:11,198.81,198.35,200,197.62,199.75,5326123.01
2018-11-04 9:11,206.77,210.06,217.77,198.1,198.35,19485097.05
2018-11-05 9:11,207.94,208.53,211.2,205.53,210.06,11254009.65
2018-11-06 9:11,213.67,218.51,219.08,207.13,208.53,22656135.62
2018-11-07 9:11,218.76,216.84,222.78,215.56,218.51,15038961.74
2018-11-08 9:11,213.21,210.34,218.27,209.89,216.84,12017642.12
2018-11-09 9:11,209.26,208.01,212.2,206.2,210.34,7773992.77
2018-11-10 9:11,210.72,210.29,212.52,207.69,208.01,5820169.09
2018-11-11 9:11,208.86,209.88,211.17,206.15,210.29,4467174
2018-11-12 9:11,209.45,208.77,211.22,207,209.88,8512400.46
2018-11-13 9:11,205.61,203.2,208.77,202.76,208.77,12435529.16
2018-11-14 9:11,180.74,177.79,204.9,165.2,203.2,57463246.06
2018-11-15 9:11,174.24,178.89,181,165.33,177.79,39661857.78
2018-11-16 9:11,175.29,172.4,179.76,169.22,178.89,20123632.7
2018-11-17 9:11,172.17,172.48,174.41,170.34,172.4,9278889.81
2018-11-18 9:11,174.91,175.87,180.2,172.15,172.48,10840739.26
2018-11-19 9:11,154.58,145.21,175.92,142,175.87,60045181.12
2018-11-20 9:11,133.38,127.55,149.5,121.5,145.21,96545174.58
2018-11-21 9:11,131.54,134.73,137.5,122.65,127.55,44231315.11
2018-11-22 9:11,129.94,123.2,136.71,122.54,134.73,18503842.12
2018-11-23 9:11,120.78,121.44,125.15,116.24,123.2,31759820.18
2018-11-24 9:11,115.28,110.08,125.89,106.25,121.44,22885133.6
2018-11-25 9:11,107.87,114.3,118.83,98.2,110.08,47773306.52
2018-11-26 9:11,108.67,106.95,116.88,102.26,114.3,34537059.55
2018-11-27 9:11,105.01,108.58,111.6,99.26,106.95,26129747.44
2018-11-28 9:11,117.26,121.95,126.45,108.58,108.58,37766755.93
2018-11-29 9:11,118.09,116.38,123.05,113,121.95,23856794.41
2018-11-30 9:11,113.64,111.65,119,109.24,116.38,14562098.1
2018-12-01 9:12,115.77,116.82,119.48,110,111.65,13590283.29
2018-12-02 9:12,115.82,114.76,119.45,114.06,116.82,8466635.57
